,Lemme,Forme_originale,Categorie,Longueur,Frequence
37,influence,influence,Nom,9,6
171,concerner,concernant,Verbe,9,6
256,alimenter,alimenter,Verbe,9,6
1478,direction,direction,Nom,9,6
1680,installer,installer,Verbe,9,6
3872,exterieur,exterieur,Adjectif,9,6
6994,graphique,graphiques,Adjectif,9,6
8775,sentiment,sentiment,Nom,9,6
11562,proximite,proximite,Nom,9,6
14655,americain,americains,Nom,9,6
0,definition,definition,Nom,10,6
182,interesser,interessent,Verbe,10,6
735,constituer,constituer,Verbe,10,6
1644,intervenir,intervenir,Verbe,10,6
1842,difference,difference,Nom,10,6
2468,totalement,totalement,Adverbe,10,6
5081,revolution,revolution,Nom,10,6
5405,profession,profession,Nom,10,6
5844,visibilite,visibilite,Nom,10,6
5967,newsletter,newsletter,Verbe,10,6
6387,entreprise,entreprise,Nom,10,6
6631,rapidement,rapidement,Adverbe,10,6
8889,coordonner,coordonner,Verbe,10,6
9309,identifier,identifier,Verbe,10,6
9628,rapprocher,rapprocher,Verbe,10,6
10566,communiste,communistes,Adjectif,10,6
3324,commentaire,commentaires,Nom,11,6
4247,reconnaître,reconnues,Verbe,11,6
6641,possibilite,possibilite,Nom,11,6
